text,label
"A Cleaner position is now open at Vuyo Solutions 606, Pretoria. The role pays R6860/month depending on relevant experience. The successful candidate will handle day-to-day cleaner tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.vuyosolutions606.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A Sales Representative position is now open at Sizwe Holdings 550, Pretoria. Salary offered is R13588 per month, negotiable based on experience. Responsibilities cover the standard scope of a sales representative role at this level. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through Careers24 with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
We're looking for a General Worker to join Thandeka Retail 111 in Polokwane. The role pays R7868/month depending on relevant experience. Duties include general general worker responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Please apply directly through Indeed with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.,0
"We're looking for a Accountant to join Karabo (Pty) Ltd 142 in Durban. The role pays R24574/month depending on relevant experience. Duties include general accountant responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through Careers24 with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A General Worker position is now open at Vuyo Group 545, Durban. Remuneration is R7669 per month, in line with industry norms. Duties include general general worker responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on Careers24. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Receptionist position available, Gqeberha, R21836/month, apply today! A small registration fee is required to process your onboarding pack. Kindly WhatsApp 0614009366 with your full ID number and banking details for verification as per our POPIA data policy. Act fast, this offer closes tonight!",1
"Vuyo (Pty) Ltd 557 has a vacancy for a HR Assistant in the Nelspruit area. Salary offered is R10110 per month, negotiable based on experience. Duties include general hr assistant responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on Careers24. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Warehouse Assistant vacancy in Bloemfontein, R28739 a month. WhatsApp 0834176986 if interested, only a few spots remain so don't delay your application.",1
"We're looking for a Accountant to join Lerato Solutions 306 in Midrand. The role pays R27745/month depending on relevant experience. Duties include general accountant responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through Pnet with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a Administrator to join Vuyo (Pty) Ltd 568 in Kimberley. Remuneration is R10699 per month, in line with industry norms. The successful candidate will handle day-to-day administrator tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Pnet with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Sizwe Group 467 is recruiting a Security Officer based in Nelspruit. Remuneration is R7227 per month, in line with industry norms. The successful candidate will handle day-to-day security officer tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through Pnet with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Karabo Logistics 231 has a vacancy for a Cleaner in the Johannesburg area. Salary offered is R5089 per month, negotiable based on experience. The successful candidate will handle day-to-day cleaner tasks for the team. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Thandeka (Pty) Ltd 581 has a vacancy for a Sales Representative in the Polokwane area. The role pays R11742/month depending on relevant experience. Responsibilities cover the standard scope of a sales representative role at this level. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.thandeka581.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A Administrator position is now open at Vuyo Group 627, Midrand. The role pays R8188/month depending on relevant experience. Responsibilities cover the standard scope of a administrator role at this level. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through our LinkedIn page with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A HR Assistant position is now open at Sizwe Solutions 505, Gqeberha. Remuneration is R13239 per month, in line with industry norms. Duties include general hr assistant responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Indeed. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"Mpho Retail 639 is recruiting a Software Developer based in Cape Town. The role pays R32131/month depending on relevant experience. The successful candidate will handle day-to-day software developer tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.mphoretail639.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"A General Worker position is now open at Vuyo Solutions 360, Polokwane. Salary offered is R6761 per month, negotiable based on experience. The successful candidate will handle day-to-day general worker tasks for the team. A completed Matric and prior experience in a similar role is preferred. Please apply directly through our LinkedIn page with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
Sizwe Holdings 715 is recruiting a Sales Representative based in Pretoria. The role pays R7332/month depending on relevant experience. Responsibilities cover the standard scope of a sales representative role at this level. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Indeed with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.,0
"Warehouse Assistant position available, Durban, R22706/month, apply today! A small registration fee is required to process your onboarding pack. Kindly WhatsApp 0797883963 with your full ID number and banking details for verification as per our POPIA data policy. Act fast, this offer closes tonight!",1
"A HR Assistant position is now open at Karabo Solutions 354, Nelspruit. The role pays R12457/month depending on relevant experience. Duties include general hr assistant responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.karabosolutions354.co.za. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"A Security Officer position is now open at Thandeka (Pty) Ltd 295, Johannesburg. Salary offered is R7795 per month, negotiable based on experience. Duties include general security officer responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on our LinkedIn page. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a Sales Representative to join Nomvula (Pty) Ltd 389 in Cape Town. Salary offered is R8074 per month, negotiable based on experience. Responsibilities cover the standard scope of a sales representative role at this level. A completed Matric and prior experience in a similar role is preferred. Please apply directly through Pnet with an updated CV. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"A HR Assistant position is now open at Nomvula Logistics 540, Johannesburg. Salary offered is R10460 per month, negotiable based on experience. Duties include general hr assistant responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on our LinkedIn page. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"Sizwe Holdings 388 has a vacancy for a Security Officer in the Durban area. Salary offered is R7813 per month, negotiable based on experience. Duties include general security officer responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.sizweholdings388.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a IT Support Technician to join Sizwe Group 683 in Gqeberha. Remuneration is R12634 per month, in line with industry norms. The successful candidate will handle day-to-day it support technician tasks for the team. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.sizwegroup683.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Lerato Logistics 42 is recruiting a General Worker based in Polokwane. The role pays R5915/month depending on relevant experience. The successful candidate will handle day-to-day general worker tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Pnet. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Sizwe Group 420 has a vacancy for a HR Assistant in the Cape Town area. Remuneration is R8463 per month, in line with industry norms. Responsibilities cover the standard scope of a hr assistant role at this level. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.sizwegroup420.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Karabo Group 343 is recruiting a Sales Representative based in Bloemfontein. Remuneration is R12640 per month, in line with industry norms. The successful candidate will handle day-to-day sales representative tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Pnet with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Karabo Retail 620 has a vacancy for a IT Support Technician in the Pretoria area. The role pays R17889/month depending on relevant experience. The successful candidate will handle day-to-day it support technician tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through Pnet with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Mpho Holdings 600 is recruiting a Cashier based in Polokwane. Salary offered is R7511 per month, negotiable based on experience. Duties include general cashier responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Pnet with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a General Worker to join Thandeka Group 1 in Johannesburg. Remuneration is R4630 per month, in line with industry norms. The successful candidate will handle day-to-day general worker tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through Careers24 with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"We're looking for a Data Capturer to join Sizwe Solutions 512 in Pretoria. Remuneration is R7523 per month, in line with industry norms. Responsibilities cover the standard scope of a data capturer role at this level. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.sizwesolutions512.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
Mpho Retail 622 has a vacancy for a Driver in the Kimberley area. The role pays R10199/month depending on relevant experience. Responsibilities cover the standard scope of a driver role at this level. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on Careers24. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.,0
"Sizwe Holdings 419 is recruiting a IT Support Technician based in Gqeberha. Remuneration is R16839 per month, in line with industry norms. Duties include general it support technician responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Careers24. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a Receptionist to join Vuyo Logistics 356 in Nelspruit. Remuneration is R10435 per month, in line with industry norms. Duties include general receptionist responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through our LinkedIn page with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Lerato Holdings 76 is recruiting a Administrator based in Pretoria. Remuneration is R13734 per month, in line with industry norms. The successful candidate will handle day-to-day administrator tasks for the team. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.leratoholdings76.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Lerato (Pty) Ltd 163 is recruiting a Warehouse Assistant based in Midrand. The role pays R7219/month depending on relevant experience. The successful candidate will handle day-to-day warehouse assistant tasks for the team. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.lerato163.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Thandeka Logistics 164 has a vacancy for a Call Centre Agent in the Nelspruit area. Salary offered is R8886 per month, negotiable based on experience. The successful candidate will handle day-to-day call centre agent tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.thandekalogistics164.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Thandeka Retail 218 is recruiting a HR Assistant based in Cape Town. The role pays R10945/month depending on relevant experience. Responsibilities cover the standard scope of a hr assistant role at this level. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Indeed. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"We're looking for a Call Centre Agent to join Sizwe Group 707 in Cape Town. Salary offered is R7666 per month, negotiable based on experience. Duties include general call centre agent responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Pnet with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Nomvula (Pty) Ltd 448 is recruiting a Warehouse Assistant based in Pretoria. Remuneration is R6578 per month, in line with industry norms. The successful candidate will handle day-to-day warehouse assistant tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through our LinkedIn page with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"General Worker vacancy in Bloemfontein, R23240 a month. WhatsApp 0629249220 if interested, only a few spots remain so don't delay your application.",1
"We're looking for a Cleaner to join Nomvula Group 417 in Gqeberha. Salary offered is R5485 per month, negotiable based on experience. The successful candidate will handle day-to-day cleaner tasks for the team. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A Sales Representative position is now open at Thandeka Retail 573, Pretoria. Remuneration is R8012 per month, in line with industry norms. Responsibilities cover the standard scope of a sales representative role at this level. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through our LinkedIn page with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A General Worker position is now open at Karabo Logistics 434, Pretoria. Remuneration is R7922 per month, in line with industry norms. Duties include general general worker responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Please apply directly through Careers24 with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
We're looking for a General Worker to join Nomvula Solutions 296 in Durban. The role pays R5328/month depending on relevant experience. Duties include general general worker responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.,0
"We're looking for a Warehouse Assistant to join Sizwe Holdings 315 in Kimberley. Salary offered is R5688 per month, negotiable based on experience. Duties include general warehouse assistant responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Please apply directly through our LinkedIn page with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"A Driver position is now open at Thandeka Retail 34, Johannesburg. The role pays R8057/month depending on relevant experience. Duties include general driver responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Careers24. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Mpho Holdings 339 is recruiting a IT Support Technician based in Johannesburg. The role pays R13584/month depending on relevant experience. The successful candidate will handle day-to-day it support technician tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.mphoholdings339.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A HR Assistant position is now open at Lerato Group 690, Gqeberha. The role pays R8715/month depending on relevant experience. The successful candidate will handle day-to-day hr assistant tasks for the team. A completed Matric and prior experience in a similar role is preferred. Please apply directly through Pnet with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A Accountant position is now open at Karabo Logistics 227, Pretoria. Remuneration is R19697 per month, in line with industry norms. Duties include general accountant responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.karabologistics227.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Nomvula Holdings 691 has a vacancy for a Receptionist in the Durban area. The role pays R9256/month depending on relevant experience. Responsibilities cover the standard scope of a receptionist role at this level. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Indeed. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"A Security Officer position is now open at Sizwe Solutions 534, Gqeberha. Remuneration is R6290 per month, in line with industry norms. Responsibilities cover the standard scope of a security officer role at this level. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Careers24. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Vuyo Retail 267 is recruiting a Warehouse Assistant based in Bloemfontein. The role pays R7295/month depending on relevant experience. The successful candidate will handle day-to-day warehouse assistant tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.vuyoretail267.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a IT Support Technician to join Mpho Group 288 in Durban. Salary offered is R17015 per month, negotiable based on experience. Duties include general it support technician responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Karabo Retail 385 has a vacancy for a Data Capturer in the Gqeberha area. Salary offered is R6309 per month, negotiable based on experience. Responsibilities cover the standard scope of a data capturer role at this level. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.karaboretail385.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A HR Assistant position is now open at Nomvula (Pty) Ltd 99, Cape Town. Salary offered is R10354 per month, negotiable based on experience. The successful candidate will handle day-to-day hr assistant tasks for the team. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.nomvula99.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Sizwe Holdings 262 is recruiting a General Worker based in Nelspruit. The role pays R5630/month depending on relevant experience. Responsibilities cover the standard scope of a general worker role at this level. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through our LinkedIn page with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"A General Worker position is now open at Lerato Retail 122, Pretoria. Salary offered is R7310 per month, negotiable based on experience. Duties include general general worker responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Careers24 with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"A General Worker position is now open at Karabo Logistics 281, Midrand. The role pays R6213/month depending on relevant experience. Duties include general general worker responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through Careers24 with an updated CV. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Thandeka Logistics 477 has a vacancy for a Data Capturer in the Pretoria area. Remuneration is R11764 per month, in line with industry norms. The successful candidate will handle day-to-day data capturer tasks for the team. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"A Driver position is now open at Lerato Solutions 273, Gqeberha. Salary offered is R7694 per month, negotiable based on experience. Responsibilities cover the standard scope of a driver role at this level. A completed Matric and prior experience in a similar role is preferred. Please apply directly through our LinkedIn page with an updated CV. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"Sizwe Retail 443 is recruiting a Driver based in Pretoria. The role pays R10502/month depending on relevant experience. Duties include general driver responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Please apply directly through our LinkedIn page with an updated CV. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"A Receptionist position is now open at Mpho Logistics 198, Cape Town. Remuneration is R7181 per month, in line with industry norms. Duties include general receptionist responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.mphologistics198.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Nomvula (Pty) Ltd 345 has a vacancy for a Receptionist in the Durban area. The role pays R8617/month depending on relevant experience. Duties include general receptionist responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.nomvula345.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
Thandeka Holdings 97 has a vacancy for a Call Centre Agent in the Durban area. The role pays R9858/month depending on relevant experience. The successful candidate will handle day-to-day call centre agent tasks for the team. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Pnet. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.,0
"A Receptionist position is now open at Lerato Logistics 169, Gqeberha. The role pays R8540/month depending on relevant experience. Duties include general receptionist responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.leratologistics169.co.za. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"A Accountant position is now open at Sizwe (Pty) Ltd 320, Johannesburg. Remuneration is R25361 per month, in line with industry norms. The successful candidate will handle day-to-day accountant tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.sizwe320.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
Karabo Holdings 554 is recruiting a Accountant based in Nelspruit. The role pays R24639/month depending on relevant experience. Responsibilities cover the standard scope of a accountant role at this level. A completed Matric and prior experience in a similar role is preferred. Please apply directly through Pnet with an updated CV. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.,0
"We're looking for a Driver to join Vuyo Holdings 461 in Kimberley. Salary offered is R10968 per month, negotiable based on experience. Responsibilities cover the standard scope of a driver role at this level. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.vuyoholdings461.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
"Thandeka (Pty) Ltd 328 is recruiting a Driver based in Durban. Salary offered is R6834 per month, negotiable based on experience. Duties include general driver responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. Interested candidates can send a CV through our listing on Indeed. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
Thandeka Holdings 139 is recruiting a HR Assistant based in Bloemfontein. The role pays R11421/month depending on relevant experience. Duties include general hr assistant responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.,0
"A Data Capturer position is now open at Thandeka Solutions 225, Kimberley. Salary offered is R6565 per month, negotiable based on experience. Duties include general data capturer responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Please apply directly through our LinkedIn page with an updated CV. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"Sizwe Solutions 68 has a vacancy for a Warehouse Assistant in the Bloemfontein area. Remuneration is R6953 per month, in line with industry norms. Duties include general warehouse assistant responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.sizwesolutions68.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Vuyo Retail 326 is recruiting a Administrator based in Bloemfontein. Salary offered is R8291 per month, negotiable based on experience. Responsibilities cover the standard scope of a administrator role at this level. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.vuyoretail326.co.za. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
Thandeka Solutions 100 is recruiting a Sales Representative based in Johannesburg. The role pays R9453/month depending on relevant experience. Responsibilities cover the standard scope of a sales representative role at this level. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on Careers24. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.,0
"A Accountant position is now open at Vuyo Retail 286, Johannesburg. Remuneration is R26399 per month, in line with industry norms. Duties include general accountant responsibilities as outlined in the attached job description. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.vuyoretail286.co.za. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"Lerato Logistics 292 has a vacancy for a Software Developer in the Pretoria area. Remuneration is R43194 per month, in line with industry norms. Responsibilities cover the standard scope of a software developer role at this level. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on Indeed. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
